sap_princ;nom_idocs;nom_welcome
50912;;SAMI TP CHATEAULIN
53400;;HCI GROUPE
55279;GLOBAL BUS BONDOUFLE;GLOBAL BUS BONDOUFLE / GLOBAL BUS  S.A.S.
575;;CLAAS
59651;SOCIETE DU POIDS LOURD NORMANDIE;SOCIETE DU POIDS LOURD NORMANDIE / RTN - SAVIH
59865;CRETOT CENTRE / GARAGE CRETOT  27-28;CRETOT CENTRE / GARAGE CRETOT 27-28 / GARAGE CRETOT  27-28 / GGE. CRETOT LAVAL S.A. / CRETOT EVREUX
62219;;Natiocredimurs
63359;CARMO;
64737;BVI AUXERRE;
6484;;2 H ENERGY / ENEDIS / ENERIA
6509;;HIMOINSA FRANCE
65691;;IVECO NORD / GARNIER / SAS CINQUEMANI (GCVI) / DVP LITTORAL / Ets. GARNIER
68085;;JEAN HENRI BRUN AUTOMOBILES SA
69435;BACQUEYRISSES SOCIETE AUTOMOBILES;
69481;B7BUS;B7BUS
70454;BACQUEYRISSES CARS ET BUS;BACQUEYRISSES CARS ET BUS
71288;;Global-Bus Vert-Saint-Denis
71791;SEMDS SARL;S.E.M.D.S
71912;BAMYTRUCKS REUNION;BAMYTRUCKS REUNION / AUTOMOBILES REUNION SN
77558;;CMAR
78135;;PR EUROPE (FR)
79746;;AUTO France PARTS
80497;BOURGOGNE VEHICULES INDUSTRIELS ET UTILITAIRES / BOURGOGNE VEHICULES;SOCIETE FINOISE / GARAGE HURDEBOURCQ / BVI AUXERRE / BVI TROYES / BOURGOGNE VEHICULES / CAMIONS SERVICE 52
81024;MARTENAT NORD AUVERGNE;MARTENAT NORD AUVERGNE / SOCIETE BOURBONNAISE DE VEHICULE / GARAGE D'ESTIVAREILLES
83097;;OUEST TRAILERS
83906;;CNH Industrial Capital Europe
88502;CENTRE VEHICULES INDUSTRIELS;CENTRE VEHICULES INDUSTRIELS / CENTRE V.I.
